ID Product,Product Description,ID Product Category,Own Brand
448847,ESPUMANTE SÃO DOMINGOS EXT.RES.BRUTO 75C,ESPUMANTES NACIONAIS,0
855847,ROBALO 1000/1400 AMANHADO KG,PESCADO AQUICULTURA,0
905933,MINI ARTIS VIANINHA CSM CG 45GR,PADARIA,0
732819,MASSA MILANEZA ESPARGUETE TRICOLOR 500G,MASSAS,0
889945,V.FRISANTE CASAL DA BICA ROSÉ 75CL,FRISANTES ROSÉ,0
581599,MOLHO CHURRASCO TOP DOWN HEINZ 220ML,MOLHOS,0
749450,BRIGADEIRINH CHOC.CACAU C.PROF CG R63649,PASTELARIA,0
811969,FIGO TURCO LERIDA SEL N3 CX.3KG,FRUTOS SECOS,0
709783,CHA LIPTON ORIENT.25 SAQ.,CHÁS E INFUSÕES,0
764834,DOCE C.MATEUS MOR.48X30GR,MEL E DOCES,0
926759,CHOURIÇO PORCO PRETO MASTERCHEF 1KG,CHOURIÇOS,1
808424,RAVIOLI GOURM QJ CABRA/CEB CAR RANA 250G,REFEIÇÕES REFRIGERADAS,0
218463,CHA PRETO DESC.LAR.TWININGS,CHÁS E INFUSÕES,0
908911,* QUICHE DE ATUM,PRATO DE PEIXE,0
939341,* PAELLA VEGETARIANA INOX,PRATO VEGETARIANO,0
939343,* CARIL DE GRÃO INOX,PRATO VEGETARIANO,0
907200,BOLACHA OREO TRITURADA 400G,BOLACHAS,0
967911,SABONETE LÍQUIDO DESINFECTANTE P40 5 LT,SABONETES,0
845475,QUEIJO FLAMENGO MCHEF BARRA KG,FLAMENGO,1
942098,PORCO PRETO TIRAS ENTR PATANEGRA CG KG,SUINO,0
918125,TOMATE TRITURADO PORTOMATO 2.55KG,CONSERVAS VEGETAIS,0
773078,DOCE DIAMIR AMEIXA 15 GRX192,MEL E DOCES,0
100148,"V.P.SET.AD.PEGOES BCO 37,5CL",VINHOS BRANCOS,0
707791,AZEITE VE OLIVEIRA SERRA CLÁSS PET 75CL,AZEITES,0
472726,DAWNUT CHOCOLATE (CP),BOLOS E SOBREMESAS INDIVIDUAIS,0
863256,LEITE UHT MIMOSA MGORDO S/LACTOSE 200ML,LEITE UHT ESPECIAL,0
964545,KETCHUP DONA SARAH TOPDOWN 250 GR,MOLHOS,0
937984,NATA UHT BATER 35% MG MCHEF 1LT,NATAS,1
971468,CAMPANHAS COMERCIAL,0,0
747115,POTA TENTACULOS COZIDO CORTADO MF 900G,CEFALÓPODES,0
734185,PREGADO AQUICULTURA +2KG (CX 1 UN),PESCADO AQUICULTURA,0
705155,GINGER ALE SCHWEPPES 1L,CARBONATADOS,0
919562,BUTTER COOKIES DAN CAKE LATA NATAL 340G,SAZONAIS NATAL,0
724170,BOVINO CHEIO DA PÁ AM/AUS/URY/USA  CC,BOVINO,0
728587,GIN HENDRICKS 70CL,GINS,0
768614,PAO C/CHOURICO MCHEF 170GR,OUTROS PÃES E ESPECIALIDADES,1
100566,AGUA CARVALHELHOS NAT.PET 33CL,ÁGUAS LISAS,0
107834,PONCHE ALBERGARIA 100CL,LICORES,0
941924,V. TEJO ENCOSTA SOBRAL GRD RESV TTO 75CL,VINHOS BRANCOS,0
944796,GELADO CHEESECAKE MORANGO DAVVERO PL 5KG,GELADOS CATERING,0
941555,PAO RUSTICO CG 400GR,PADARIA,0
377816,BAC ESPECIAL + (5) NOR MCHEF RCH,BACALHAU INTEIRO,1
908790,SOFT CARE DES E SPRAY 20L,MULTIUSOS,0
774910,GRANDE D.SAN MARCOS C.PROF.48UN CGR74607,PASTELARIA,0
958984,MINI TARTE QUEIJO EUROPASTRY CONG 100G,PASTELARIA,0
490580,CAMARAO 80/100 MOCAM MCHEF 2KG,CAMARÃO,1
601158,LIPTON TILIA 6X25SQ,CHÁS E INFUSÕES,0
640969,GUARDANAPOS RENOVA BLACK TIPOB,GUARDANAPOS FOLHA DUPLA,0
931202,186-CX.POOL GRD. F&V CPG17,ACESSORIOS TRANSPORTE,0
941699,V. TEJO ENCOSTA SOBRAL CHARDONNAY BCO 75,VINHOS BRANCOS,0
